category,business name,description,detail,url
B2B services,Tristan J Carney,marketing services,marketing agency,https://tristanjcarney.co/
B2B services,Ust Training,"driver training, class A, B and C UST",,https://usttraining.com
B2B services,Vista Diagnostics International,medical: rapid diagnostic test development,,https://vistadx.net
B2B services,Vista Laboratory Services,antibody and materials for lateral flow rapid tests,,https://vistalaboratoryservices.com
B2B services,Whidbey Creative,digital marketing,branding,https://www.whidbeycreative.com
B2B services,Z-Pulley Incorporated,spatial software,,http://z-pulley.com/#pr
clubs and causes,Alongside Ministries International,advancing the Christian gospel,,https://www.alongside.org
clubs and causes,American Gin & Tonic Designers Association,food and beverages,,https://www.agtda.org
clubs and causes,Baby Island-Saratoga Club,youth scholarships,,https://www.babyislandsaratogaclub.org/
clubs and causes,Ballydidean Farm Sanctuary,"allydídean rescues, rehabilitates, and rehomes farmed animals who are unwanted, neglected, or abused",,https://ballydidean.farm/
clubs and causes,Calvary Chapel Of Whidbey Island,"church, evangelical",,https://www.ccwhidbey.com
clubs and causes,Cascade Dachshund Club,dachshund club,,https://www.cascadedachs.org
clubs and causes,Christian Life Community Church Of Whidbey Island,Church Christian,,http://clcwhidbey.com
clubs and causes,"Christian Science Society, Langley, Washington",Christian Science Society of South Whidbey,,https://christiansciencesouthwhidbey.com
clubs and causes,Clinton Chamber Of Commerce,tourism,,https://discoverclintonwa.com
clubs and causes,Clinton Community Council,Clinton Community Council,,https://clintoncommunitycouncil.org
clubs and causes,Cugos,Open Source GIS professionals,,https://cugos.org 
clubs and causes,Fetch,off leash dog parks,,http://www.fetchparks.org/index.html
clubs and causes,Genealogical Society Of South Whidbey Island,Genealogical Society,,http://www.gsswi.org/index.shtml
clubs and causes,Goosefoot Community Fund,essential community solutions,,https://goosefoot.org/news-events/
clubs and causes,Greater Freeland Chamber Of Commerce,chamber of commerce,,https://freelandchamber.org
clubs and causes,Healing Circles Langley,facilitating human connections,,https://healingcircleslangley.org
clubs and causes,Hearts & Hammers,rehabilitating houses for those in need,,http://www.heartsandhammers.com/
clubs and causes,Hedgebrook,supporting visionary women writers,,https://hedgebrook.org/
clubs and causes,Helping Hand Of South Whidbey,"Helping Hand provides immediate financial assistance to residents of South Whidbey when basic services of life and well-being are in danger of being discontinued, and makes referrals for longer-term assistance.",,https://helpinghandofsouthwhidbey.org
clubs and causes,Hillside Evangelical Free Church,church evangelical,,http://hillside-efc.com
clubs and causes,Holmes Harbor Rod And Gun Club,Holmes Harbor rod and gun club,,https://www.hhrodandgun.com
clubs and causes,"Home On Whidbey, A Community Land Trust",affordable housing on south Whidbey,,https://www.homeonwhidbey.org
clubs and causes,Impact Teams International,fundraising for children in developing Nations,,http://www.impactkids.org/index.html
clubs and causes,International Steel Shooting Association,steel shooting,,https://www.internationalsteelshoot.com
clubs and causes,Island Arts Council,"WIAC fosters local artists and arts organizations through grants, fiscal management and sponsorship",,https://www.islandartscouncil.org
clubs and causes,Island Beach Access,beach access,,https://www.islandbeachaccess.org/index.php
clubs and causes,Island Roots Housing,local housing,,https://islandrootshousing.org
clubs and causes,Island Rowing Association,sports,,https://islandrowing.org
clubs and causes,Island Shakespeare Festival,arts,,http://www.islandshakespearefest.org/
clubs and causes,Kiseki Horse Rescue Foundation,animal rescue,,https://www.kisekihorserescue.org
clubs and causes,Langley Main Street Association,business,,https://langleymainstreet.org/
clubs and causes,Langley United Methodist Church,church methodist,,https://langleyumc.org
clubs and causes,Langley Village Association,Langley Main St,,https://langleymainstreet.org
clubs and causes,Living Design Foundation Dba Living Design Foundation,curriculum development in education,,https://www.livingdesignfoundation.org
clubs and causes,Meerkerk Rhododendron Gardens,gardening,,http://www.meerkerkgardens.org/
clubs and causes,Mobile Turkey Unit Of Whidbey Island,human services,,https://www.mobileturkeyunit.com/
clubs and causes,Mother Mentors Of Whidbey Island,human services,,https://www.mothermentors.org
clubs and causes,Moving Images Video Project,peace,,https://www.movingimages.org/index.htm
clubs and causes,Northwest Art Alliance,arts,,https://nwartalliance.org
clubs and causes,Northwest Food Alliance Inc,food secure communities,,https://northwestfoodalliance.com
clubs and causes,Oneness Project,Dedicated to the Dances of Universal Peace,,https://onenessproject.com
clubs and causes,Orca Network,educating the public and protecting orcas and their habitat,,http://www.orcanetwork.org/
clubs and causes,Rod And Gun Safety Education Club,gun safety,,https://www.hhrodandgun.com
clubs and causes,Rotary Club Of South Whidbey Island,rotary,,https://portal.clubrunner.ca/811/
clubs and causes,Rotary Club Of Whidbey Westside,rotary,,https://portal.clubrunner.ca/9353/
clubs and causes,Salish Sea Cooperative Finance,"helping members align their money with their values through investing, borrowing, and financial literacy.",,https://salishseafinance.coop
clubs and causes,Science And Spirit Institute,"promote and engage in the study and uses of energy as relates to physics, medicine, spirit, and art from the perspective of the holistic divine feminine that all is connected.",,https://scienceandspirit.institute
clubs and causes,Slow Food Whidbey Island,slow food,,https://slowfoodwhidbeyisland.org/
clubs and causes,Soroptimists International Of South Whidbey Island,girl empowerment,,https://soroptimistsouthwhidbey.org
clubs and causes,South Whidbey Assembly Of God,"Church, Christian",,https://www.swagchurch.com
clubs and causes,South Whidbey Church Of Christ,"Church, Christian",,https://www.southwhidbeychurchofchrist.org
clubs and causes,South Whidbey Historical Society,historical society,,https://southwhidbeyhistory.org
clubs and causes,South Whidbey Schools Foundation,building relationships between our community and schools,,https://swsfoundation.org
clubs and causes,South Whidbey Tilth Association,"we are a community of gardeners, farmers and consumers on South Whidbey Island who support good tilth–carbon-rich, living soil–as the foundation of a vibrant and biodiverse agriculture.",,https://www.southwhidbeytilth.org/events
clubs and causes,South Whidbey Yacht Club,yacht club,,https://swyachtclub.org
clubs and causes,South Whidbey Yacht Club Youth Sailing Association,youth sports,,https://swyachtclub.org/learn-to-sail/
clubs and causes,"St. Augustine'S In-The-Woods Episcopal Parish, Freeland,  Washington","church, episcopal",,https://www.staugustinesepiscopalchurch.org
clubs and causes,The Applique Society,applique in quilting,,https://theappliquesociety.org
clubs and causes,The Christian And Missionary Alliance Church Of Langley,"church, Christian",,https://icwhidbey.org
clubs and causes,The Giraffe Project Dba The Giraffe Project,"honoring compassionate risk-takers with the courage to stick their necks out for the common good, in the US and around the world.",,https://www.giraffe.org
clubs and causes,The Langley Chamber Of Commerce,chamber of commerce,,https://visitlangley.com
clubs and causes,The Langley Community Club,Langley community club,,https://langleycommunityclub.wordpress.com/events/
clubs and causes,The M-Bar-C Ranch (The Forgotten Children'S Fund),horse refuge,,https://www.facebook.com/mbcranch
clubs and causes,The Preserve At Trillium,land conservation,,https://www.wclt.org/projects/trillium-community-forest/
clubs and causes,The Trinity Lutheran Church Of Freeland,Lutheran church,,https://trinitylutheranfreeland.org
clubs and causes,The Unitarian Universalist Congregation Of Whidbey Island,Unitarian Universalist church,,https://uucwi.org
clubs and causes,The Washington State Society Of The National Society Of The Daughters Of The American Revolution,Daughters of the American Revolution,,https://www.wadar.org
clubs and causes,Tusubira - We Have Hope,uganda,,http://www.tusubira.org
clubs and causes,Unity Of Whidbey,"church, Unity",,https://www.unityofwhidbey.org
clubs and causes,Veterans Resource Center,veteran resources,,https://www.whidbeyvrc.org
clubs and causes,Whidbey Audubon Society,audubon society,,https://www.whidbeyaudubonsociety.org/
clubs and causes,Whidbey Environmental Action Network,wean environmental protection,Defending vital ecosystems in Island County and beyond since 1989,https://www.whidbeyenvironment.org
clubs and causes,Whidbey Homeless Coalition,Making homelessness a brief and rare experience on Whidbey Island,,https://www.whidbeyhomeless.org
clubs and causes,Whidbey Island Bed & Breakfast Association,bed and breakfast association,,https://www.whidbeyislandbandb.com
clubs and causes,Whidbey Island Fly Fishing Club,sports,,https://www.wiffc.com/
health & wellness,Whidbey Island Holistic Health Association,association for holistic health,,https://www.wihha.com
clubs and causes,Whidbey Island Nourishes,food security and nourishment programs for youth on South Whidbey Island,,https://www.whidbeyislandnourishes.org/
clubs and causes,Whidbey Island Orchestra,orchestra,,https://www.whidbeyorchestras.org/index.html
clubs and causes,Whidby Community Hall Association,community hall,,http://www.bayviewhall.org
clubs and causes,Xenv,Defending vital ecosystems in Island County and beyond since 1989,,http://www.whidbeyenvironment.org/
construction,Aerial Whidbey,general contractor construction,,https://www.aerialwhidbey.com
construction,Aether Advisors,general contractor construction,,https://www.aetheradvisors.com
construction,Albert Gabelein Construction,home builder,general contractor construction,https://www.facebook.com/p/Albert-Gabelein-Construction-LLC-100054659430914/?paipv=0&eav=AfbrN5VS5ndey4yUm6ZjoXWEBQ61XBO5GhVGoFlffy3RtwUUuQzI4_sZavzhmOBINsA&_rdr
construction,All Set Construction,remodels,general contractor construction,https://www.facebook.com/scot.treggett.716/
construction,Amc Framing,general contractor construction,,https://www.amcframingllc.com
construction,Ap Mechanical Bartel Acquisition,general contractor construction,,https://www.apmechanical.net/about
construction,Apollo Drain Service,general contractor construction,,https://www.apolloplumbing.net
construction,Arbor Dreams,general contractor construction,,https://arbordreamstreesurgeon.com
construction,Archipelago Consulting,general contractor construction,,http://glenrpearson.com
construction,Big Rock Construction & Remodel,remodels,general contractor construction,https://big-rock-construction-remodel-llc.business.site
construction,Black Horse Contracting,excavation fencing outbuildings,general contractor construction,https://www.blackhorsecontracting.com
construction,C&C Wilkie Excavating And Landscaping,excavation,general contractor construction,https://www.ccwilkie.com
construction,Cato Company,"stump removal, land clearing",general contractor construction,https://www.catotreeservice.com
construction,"Celtic Risers, Inc",septic,general contractor construction,https://www.celticrisers.com
construction,Chad Saxton Electric,"smart home, lighting, electrical",general contractor construction,https://www.saxtonelectric.net
construction,Chrysalis Custom Builders,"home building, remodels",general contractor construction,https://www.schisel.com
construction,Contour Design Build,"home construction, remodels",general contractor construction,https://www.contourdesignbuild.com
construction,Country Plans,house plans,general contractor construction,https://www.countryplans.com
construction,Country Road,gravel driveways,general contractor construction,https://www.mycountryroad.com
construction,Culver,home construction,general contractor construction,https://www.culverbuilt.com
construction,Custom Logging & Site Development,logging and excavation,general contractor construction,http://www.customloggingllc.com
construction,Custom Remodel,remodels,general contractor construction,https://www.customremodeldb.com
construction,D. Beckman Construction,remodels,general contractor construction,https://dbeckmanconst.com
construction,Dbbrad,"home builder, design services, remodels",general contractor construction,http://dbbrad.com/dbbrad/Home.html
construction,Dow'S Painting Inc,painting,general contractor construction,http://www.dowspainting.com
construction,Dungeness Construction Corporation,"stormwater, paving, fencing",general contractor construction,http://www.dungenessconstruction.com/home.html
construction,Eagle Landscape Company,landscaping,general contractor construction,https://www.eaglebuildingcompany.com
construction,Eagle Outdoor Living,luxury outdoor kitchens and fire features,general contractor construction,https://eagleoutdoorliving.com
construction,Edgy,home construction,general contractor construction,https://www.soulescompany.com
construction,Edson Design,tile and natural stone installation,general contractor construction,https://edsondesignllc.com
construction,Elemental Building Services,remodels,general contractor construction,https://www.elementaldesignbuild.com
construction,Energywise Ductless Heat Pumps,"HVAC, ductless heat pumps",general contractor construction,https://www.energywisedhp.com
construction,Epstein Custom Homes,home construction,general contractor construction,https://www.epsteincustomhomes.com
construction,Feathermark,"sustainable woodworking, small timber frame construction",general contractor construction,https://www.facebook.com/feathermark.woodwork/
construction,Flat Rock Productions,architect,general contractor construction,https://www.flatrockproductions.com
construction,Freeman Wheeler,home builder,general contractor construction,http://www.freemanwheelerllc.com
construction,Gabelein Brothers Septic Pumping L.L.C.,septic,general contractor construction,https://www.gabeleinbros.com
construction,Garrick Plumbing L.L.C.,plumbing,general contractor construction,https://www.garrickplumbing.com
construction,Gary Whitcomb.,remodels,general contractor construction,https://www.customremodeldb.com
construction,Geoship S.P.C.,eco dome homes,general contractor construction,https://www.geoship.is
construction,Gerlach Construction,remodels,general contractor construction,http://gerlachconst-inc.com
construction,Greenbank Construction,excavation,general contractor construction,https://www.facebook.com/GREENBANKCONSTRUCTIONLLC/
construction,Greg Gilles Construction Services,custom homes,general contractor construction,https://www.greggillesconstruction.com
construction,Grizzly Built Homes,custom homes,general contractor construction,https://grizzlybuilthomes.com
construction,Haven Illustrated,landscape design,general contractor construction,https://havenillustrated.com
construction,Heggenes Construction,custom homes,general contractor construction,http://www.heggenesconstruction.com
construction,Island Asphalt & Sitework,asphalt and sitework,general contractor construction,https://www.facebook.com/islandasphalt/
construction,Island Construction Company,"roofing, decks, painting, kitchen and bath remodels, and gutters",general contractor construction,https://www.facebook.com/p/Island-Construction-Company-100057076014953/
construction,Island Ductless Solutions,"heat pumps, ductless",general contractor construction,https://www.islandheatpumps.com
construction,Island Gas Piping And Stove Installs,gas piping installation,general contractor construction,https://www.islandgaspiping.com
construction,Island Roofing & Remodel,roofing,general contractor construction,https://roofingwhidbey.com
construction,Island Water & Septic,septic,general contractor construction,https://www.bobsseptic.net
construction,Jade Craftsman Builders,home builder,general contractor construction,https://www.jadecraftsmanbuilders.com
construction,Jerry Beck & Company,"electrical, voice and data wiring",general contractor construction,http://www.jerrybeck.com
construction,Khaya Woodworks,fine furniture and cabinetry,general contractor construction,https://www.khayawoodworks.com
construction,Leroy M. Boren Construction,home builder,general contractor construction,https://borenconstruction.com
construction,Live Edge Woodworks,salvaged wood and lumber,general contractor construction,http://liveedgewoodworks.com
construction,Mason Strevel Construction,home builder,general contractor construction,http://www.strevelconstruction.com
construction,Mcbride Fence,fencing,general contractor construction,https://www.mcbridefenceinc.com
construction,Mcclure Custom Homes,home builder,general contractor construction,http://mcclurecustomhomes.com
construction,Mick Olsen Corporation,home builder,general contractor construction,http://mickolsencorp.com/index.htm
construction,Miller Custom Construction,home builder,general contractor construction,http://www.millercustomconstruction.com
construction,Moseler Concrete,concrete,general contractor construction,https://members.sicba.org/list/member/moseler-concrete-llc-3015
construction,Mutiny Bay Plumbing,plumbing,general contractor construction,https://mutinybayplumbing.net/index.html
construction,Nettlebeck Tractor Works,excavation,general contractor construction,https://nettlebecktractorworks.com
construction,Next Generation Design & Build,home builder,general contractor construction,https://www.nextgenerationdandb.com/index.html
construction,North Cross Aluminum,metal fabrication,general contractor construction,https://www.facebook.com/profile.php?id=100042569666012
construction,North River Concrete Pumping,concrete pumping,general contractor construction,https://northriverconcretepumping.com/about.php
construction,Northwest Lawn Care,"lawn care, yard work",general contractor construction,https://southwhidbey.online/northwestlawncare
construction,Otter Built,remodels,general contractor construction,https://www.otterbuilt.com
construction,Ploof,remodels,general contractor construction,https://www.facebook.com/PloofLLC/
construction,"Price/Johnson Construction, Incorporated",home builder,general contractor construction,https://pricejohnson.wordpress.com
construction,"Puget Sound Concrete Pumping Services, Inc",concrete pumping,general contractor construction,https://puget-sound-concrete-pumping.business.site
construction,Quicksilver Construction,"home construction, remodel, decks and more",general contractor construction,https://teamqsc.com/index.html
construction,Redbarn Millworks,"New construction, remodels, fine cabinetry, specializing in the use of Salvage and Eco Friendly Materials",general contractor construction,https://www.redbarnmillworks.com
construction,Rl Simmons Construction,"Logging, Land Clearing & Excavation",general contractor construction,https://www.rlconstructionwhidbey.com
construction,Saratoga Environmental,"environmental and land development services to landowners, builders, architects and real estate agents in Island County",general contractor construction,https://saratogaenv.com
construction,Schisel Construction,"home builder, remodels, additions",general contractor construction,https://www.schisel.com
construction,"Shearwater Construction, Inc",home builder,general contractor construction,https://www.shrwtr.com
construction,Sound Septic Solutions,septic,general contractor construction,https://www.soundsepticsolutionsllc.com
construction,Sound Slope & Shoreline,erosion control business,general contractor construction,https://soundslopeshoreline.com
